,index
0,g53b.f_accomfoods_cert
1,g53b.f_accomfoods_id_ns
2,g53b.f_accomfoods_tot
3,g53b.f_transpostwhse_pd
4,g53b.f_transpostwhse_gd_gc
5,g53b.f_transpostwhse_bd
6,g53b.f_transpostwhse_add_d
7,g53b.f_transpostwhse_cert
8,g53b.f_transpostwhse_id_ns
9,g53b.f_transpostwhse_tot
10,g53b.f_infomedtelecom_pd
11,g53b.f_infomedtelecom_gd_gc
12,g53b.f_infomedtelecom_bd
13,g53b.f_infomedtelecom_add_d
14,g53b.f_infomedtelecom_cert
15,g53b.f_infomedtelecom_id_ns
16,g53b.f_infomedtelecom_tot
17,g53b.f_fininsurs_pd
18,g53b.f_fininsurs_gd_gc
19,g53b.f_fininsurs_bd
20,g53b.f_fininsurs_add_d
21,g53b.f_fininsurs_cert
22,g53b.f_fininsurs_id_ns
23,g53b.f_fininsurs_tot
24,g53b.f_renthirreserv_pd
25,g53b.f_renthirreserv_gd_gc
26,g53b.f_renthirreserv_bd
27,g53b.f_renthirreserv_add_d
28,g53b.f_renthirreserv_cert
29,g53b.f_renthirreserv_id_ns
30,g53b.f_renthirreserv_tot
31,g53b.f_proscietechserv_pd
32,g53b.f_proscietechserv_gd_gc
33,g53b.f_proscietechserv_bd
34,g53b.f_proscietechserv_add_d
35,g53b.f_proscietechserv_cert
36,g53b.f_proscietechserv_id_ns
37,g53b.f_proscietechserv_tot
38,g53b.f_adminsupserv_pd
39,g53b.f_adminsupserv_gd_gc
40,g53b.f_adminsupserv_bd
41,g53b.f_adminsupserv_add_d
42,g53b.f_adminsupserv_cert
43,g53b.f_adminsupserv_id_ns
44,g53b.f_adminsupserv_tot
45,g53b.f_pubadmisafety_pd
46,g53b.f_pubadmisafety_gd_gc
47,g53b.f_pubadmisafety_bd
48,g53b.f_pubadmisafety_add_d
49,g53b.f_pubadmisafety_cert
50,g53b.f_pubadmisafety_id_ns
51,g53b.f_pubadmisafety_tot
52,g53b.f_eductrain_pd
53,g53b.f_eductrain_gd_gc
54,g53b.f_eductrain_bd
55,g53b.f_eductrain_add_d
56,g53b.f_eductrain_cert
57,g53b.f_eductrain_id_ns
58,g53b.f_eductrain_tot
59,g53b.f_healthcaresoca_pd
60,g53b.f_healthcaresoca_gd_gc
61,g53b.f_healthcaresoca_bd
62,g53b.f_healthcaresoca_add_d
63,g53b.f_healthcaresoca_cert
64,g53b.f_healthcaresoca_id_ns
65,g53b.f_healthcaresoca_tot
66,g53b.f_artrecserv_pd
67,g53b.f_artrecserv_gd_gc
68,g53b.f_artrecserv_bd
69,g53b.f_artrecserv_add_d
70,g53b.f_artrecserv_cert
71,g53b.f_artrecserv_id_ns
72,g53b.f_artrecserv_tot
73,g53b.f_othserv_pd
74,g53b.f_othserv_gd_gc
75,g53b.f_othserv_bd
76,g53b.f_othserv_add_d
77,g53b.f_othserv_cert
78,g53b.f_othserv_id_ns
79,g53b.f_othserv_tot
80,g53b.f_id_ns_pd
81,g53b.f_id_ns_gd_gc
82,g53b.f_id_ns_bd
83,g53b.f_id_ns_add_d
84,g53b.f_id_ns_cert
85,g53b.f_id_ns_id_ns
86,g53b.f_id_ns_tot
87,g53b.f_tot_pd
88,g53b.f_tot_gd_gc
89,g53b.f_tot_bd
